sales_channel,route,AverageFlightDuration,LengthOfStay,WantsExtraBaggage,PrefSeat,WantsMeals
Internet,MYYSYD,8.580000000000004,3.68,0.1,0.07,0.06
Internet,CANDEL,5.52,3.68,0.15,0.06,0.12
Internet,HDYMEL,8.83,3.67,0.1,0.03,0.04
Internet,KBRSYD,8.58,3.67,0.1,0.02,0.06
Internet,GOISYD,8.58,3.66,0.1,0.07,0.04
Internet,CKGJHB,4.83,3.66,0.07,0,0
Internet,JOGTPE,4.669999999999995,3.64,0.16,0.04,0.1
Internet,CMBMEL,8.829999999999952,3.64,0.09,0.04,0.07
Internet,CGKCKG,4.83,3.64,0.08,0.08,0.12
Internet,GOIMEL,8.83,3.63,0.1,0.05,0.06
Internet,CKGMYY,4.83,3.62,0.1,0.1,0
Internet,MELPNH,8.830000000000016,3.61,0.08,0.03,0.04
Internet,ICNSDK,6.62,3.59,0.15,0.11,0.15
Internet,DELJHB,5.52,3.59,0.14,0.11,0.04
Internet,IKAPEN,8.15,3.58,0.05,0.05,0.02
Internet,DADOOL,8.829999999999997,3.57,0.09,0.06,0.06
Internet,PERTWU,5.619999999999998,3.56,0.12,0.1,0.06
Internet,HANMEL,8.830000000000005,3.56,0.08,0.03,0.05
Internet,HGHOOL,8.83,3.56,0.08,0.04,0.05
Internet,KCHMEL,8.829999999999977,3.55,0.09,0.05,0.05
Internet,BDOMEL,8.830000000000005,3.55,0.09,0.04,0.07
Internet,BDOSYD,8.580000000000005,3.55,0.09,0.04,0.07
Internet,PNKTPE,4.670000000000001,3.54,0.14,0.03,0.07
Internet,BKIKTM,4.75,3.54,0.18,0.04,0.07
Internet,DELHND,7.569999999999998,3.54,0.06,0.01,0.04
Internet,DADSYD,8.580000000000005,3.53,0.09,0.02,0.06
Internet,MELPVG,8.830000000000016,3.52,0.08,0.03,0.05
Internet,CNXPEK,6.420000000000001,3.52,0.07,0.01,0.05
Internet,CANOOL,8.83,3.52,0.1,0.02,0.09
Internet,KBVKTM,4.75,3.51,0.14,0.14,0.07
Internet,PERSBW,5.620000000000003,3.5,0.14,0.09,0.04
Internet,CKGPEN,4.829999999999999,3.5,0.12,0.06,0.02
Internet,MELMFM,8.830000000000002,3.49,0.08,0.08,0.07
Internet,HNDSUB,7.569999999999994,3.47,0.09,0.04,0.06
Internet,MELPEN,8.829999999999947,3.45,0.08,0.05,0.07
Internet,RGNSYD,8.579999999999998,3.45,0.07,0.03,0.07
Internet,KOSOOL,8.83,3.45,0,0,0.06
Internet,PENPER,5.619999999999942,3.45,0.12,0.06,0.08
Internet,COKTPE,4.670000000000001,3.44,0.1,0.04,0.07
Internet,OOLVTE,8.830000000000004,3.44,0.11,0.06,0.05
Internet,CMBPVG,5.330000000000002,3.43,0.09,0.01,0.03
Internet,HANOOL,8.830000000000004,3.43,0.08,0.03,0.04
Internet,JHBPUS,6.330000000000003,3.42,0.1,0.04,0.07
Internet,CKGTWU,4.829999999999999,3.42,0.1,0,0
Internet,CKGKCH,4.829999999999999,3.38,0.17,0.07,0.07
Internet,KOSSYD,8.58,3.38,0.12,0,0
Internet,DMKOOL,8.829999999999945,3.38,0.07,0.04,0.05
Internet,CCUMRU,7.42,3.37,0.13,0,0.13
Internet,DELSGN,5.519999999999998,3.37,0.1,0.04,0.09
Internet,AKLHGH,5.07,3.35,0,0,0
Internet,MELSGN,8.829999999999941,3.35,0.09,0.03,0.05
Internet,KCHOOL,8.83000000000001,3.34,0.09,0.05,0.05
Internet,PVGSYD,8.580000000000004,3.34,0.08,0.02,0.05
Internet,MELSBW,8.830000000000013,3.34,0.09,0.04,0.05
Internet,PVGRGN,5.33,3.34,0.08,0.11,0.08
Internet,BDOPVG,5.329999999999999,3.33,0.14,0.02,0.02
Internet,HGHKNO,5.07,3.33,0.18,0.02,0.12
Internet,HKGKTM,4.75,3.33,0.1,0.04,0.04
Internet,ICNKCH,6.620000000000004,3.32,0.11,0.04,0.05
Internet,PEKSUB,6.4199999999999955,3.31,0.08,0.03,0.04
Internet,BKIOOL,8.830000000000013,3.27,0.09,0.05,0.06
Internet,PEKSYD,8.580000000000013,3.27,0.08,0.02,0.05
Internet,DACHND,7.57,3.27,0.13,0.03,0.07
Internet,CMBMRU,7.419999999999999,3.23,0.13,0.04,0.09
Internet,KIXPER,7,3.23,0.1,0.04,0.05
Internet,KBRPER,5.619999999999999,3.22,0.16,0.04,0.07
Internet,MRUPER,7.420000000000001,3.21,0.11,0.02,0.06
Internet,PENXIY,5,3.21,0.13,0.05,0.08
Internet,ICNSYD,8.579999999999945,3.19,0.08,0.04,0.06
Internet,KCHSYD,8.579999999999998,3.19,0.09,0.06,0.05
Internet,HNDKNO,7.569999999999995,3.17,0.1,0.07,0.06
Internet,KIXPNH,7,3.17,0.07,0.03,0.02
Internet,HNDJOG,7.569999999999995,3.17,0.07,0.04,0.07
Internet,CGKMEL,8.830000000000016,3.17,0.08,0.04,0.06
Internet,CMBSYD,8.579999999999963,3.16,0.08,0.05,0.08
Internet,ICNMEL,8.829999999999966,3.16,0.08,0.03,0.05
Internet,CNXHND,7.569999999999995,3.13,0.08,0.05,0.03
Internet,KTMMEL,8.829999999999997,3.12,0.1,0.04,0.07
Internet,CGKKIX,7,3.12,0.09,0.04,0.06
Internet,BWNTPE,4.6699999999999955,3.11,0.15,0.07,0.1
Internet,KNOOOL,8.830000000000004,3.11,0.08,0.05,0.06
Internet,KBRTPE,4.670000000000001,3.11,0.09,0.06,0.1
Internet,BKIMRU,7.42,3.1,0.13,0,0
Internet,SYDTPE,8.579999999999991,3.1,0.08,0.03,0.06
Internet,ICNJHB,6.620000000000004,3.09,0.12,0.06,0.08
Internet,CMBOOL,8.830000000000014,3.08,0.07,0.03,0.07
Internet,PENSYD,8.57999999999996,3.08,0.08,0.04,0.07
Internet,HNDKTM,7.57,3.08,0.11,0.09,0.07
Internet,DELSBW,5.52,3.08,0.18,0.18,0
Internet,KNOMEL,8.83,3.07,0.07,0.04,0.05
Internet,KIXMEL,8.830000000000004,3.05,0.07,0.04,0.04
Internet,DMKSYD,8.57999999999995,3.03,0.07,0.03,0.05
Internet,KHHSYD,8.58,3.03,0.1,0.08,0.08
Internet,CGKIKA,8.150000000000004,3.02,0.07,0.02,0.05
Internet,SINXIY,5,2.99,0.06,0.03,0.02
Internet,MELTPE,8.829999999999947,2.98,0.09,0.03,0.06
Internet,DELMFM,5.52,2.97,0.18,0.04,0.11
Internet,JOGOOL,8.83,2.96,0.11,0.08,0.11
Internet,ICNVTZ,6.620000000000001,2.95,0.08,0.06,0.07
Internet,KCHTPE,4.670000000000004,2.95,0.15,0.04,0.09
